pop,it,opt_d,time
30,5,521.3858196836551,183
30,5,517.4493671061779,181
30,5,523.2785982065493,187
30,5,519.6925169783941,183
30,5,518.241208238894,185
30,10,519.8835320977519,345
30,10,516.2147978603749,342
30,10,513.0275179634975,344
30,10,516.0156563470297,335
30,10,518.0836809588027,346
30,20,518.1742234680536,656
30,20,517.9916344864329,646
30,20,517.1879568574582,652
30,20,512.7873116822476,646
30,20,518.5099768659455,647
30,30,515.9023121319271,956
30,30,516.0763977145609,963
30,30,516.581722230057,959
30,30,518.9350078777102,969
30,30,513.9371127334243,961
50,5,526.3323525340927,303
50,5,518.6893702799238,306
50,5,517.4127057035479,311
50,5,516.4036801762917,308
50,5,517.9983674703109,318
50,10,515.1722140904045,567
50,10,518.6379993271546,570
50,10,515.5811630822392,566
50,10,515.6957660529331,566
50,10,517.2193420385232,571
50,20,513.4852985237076,1077
50,20,516.1631668906027,1074
50,20,511.13047561912333,1086
50,20,512.1681783517494,1098
50,20,517.1474383214494,1085
